TAU(MFT),wind,sst,airT,Pressure,TAU(obs)
0.631507,18.4,13.9,11.9,101325,0.917871695826819
0.518939,16.9,14,11.4,101325,0.732183098685022
0.621234,18.2,13.9,11.3,101325,0.776797966011755
0.58749,17.8,13.9,11.5,101325,0.659673676903967
0.504609,16.7,13.9,11.3,101325,0.645200162740215
0.419659,15.4,14.2,11,101325,0.482073490248116
0.551081,17.3,14.2,11.4,101325,0.734208607958256
0.49205,16.5,14.1,11.2,101325,0.554740461837786
0.435488,15.7,13.7,11.2,101325,0.543223720027025
0.391491,15,13.8,11.2,101325,0.501664210403732
0.378117,14.8,13.8,11.4,101325,0.507043292037278
0.28931,13.2,13.8,11.4,101325,0.270258024857727
0.198447,11.2,13.9,11.4,101325,0.170044141328068
0.150043,9.9,13.9,11.4,101325,0.167272741353754
0.127007,9.2,13.9,11.5,101325,0.132617231157946
0.114794,8.8,13.8,11.5,101325,0.069932896407914
0.030878,4.6,13.9,9.4,101325,0.069948624003621
0.049727,5.8,14.1,9.3,101325,0.068987317675063
0.087478,7.6,14.1,9.6,101325,0.032240502477474
0.045962,5.6,14,9.5,101325,0.039309286434633
0.035035,4.9,13.9,9.4,101325,0.093197102959266
0.061061,6.4,14.1,9.3,101325,0.111636732306172
0.162382,10.1,14.1,9.7,101325,0.154536241704009
0.163844,10.1,14.1,9.2,101325,0.19038374405395
0.100555,8,14,8,101325,0.11781213859361
0.012219,2.8,14,8.9,101325,0.024906224121693
0.146625,9.6,14,9.2,101325,0.255724109148903
0.503567,16.6,13.9,10.4,101325,0.62012297167578
0.696931,19,13.7,10,101325,0.819746912162528
0.701525,18.9,13.6,8.2,101325,0.915185691540247
0.735103,19.2,13.6,7.2,101325,0.737724779304586
0.623202,17.9,14,7.5,101325,0.422063940653546
0.565041,17.1,14.1,6.7,101325,0.899058401884994
0.43165,15.3,14.1,7.8,101325,0.462683693250583
0.569019,17.3,14.1,8.7,101325,0.76322070857649
0.440364,15.5,14.2,8.7,101325,0.434462714165439
0.407045,15,14.2,8.9,101325,0.549158383346735
0.393032,14.8,14.2,9.2,101325,0.518907978354544
0.412445,15.1,14.2,8.9,101325,0.455391809324674
0.415962,15.2,14.2,9.6,101325,0.499315231091542
0.395497,14.9,14.2,9.9,101325,0.565468027389701
0.299317,13.2,14.2,9.8,101325,0.377700211808254
0.28891,13,14.3,9.9,101325,0.385241132279511
0.312095,13.4,14.2,9.3,101325,0.281828901995519
0.324816,13.6,14.2,8.7,101325,0.366040708118646
0.428337,15.3,14.2,8.5,101325,0.600719052469622
0.457195,15.8,14.2,9.1,101325,0.575168792616567
0.046423,5.6,13.4,8.4,101325,0.297106193136394
0.201546,11.1,13.6,9.1,101325,0.26832325653957
0.245506,12.1,13.7,9.2,101325,0.201858093719326
0.231896,11.8,13.7,9.2,101325,0.335362982453341
0.222563,11.6,13.6,9.3,101325,0.234224891930811
0.152523,9.7,13.6,8.1,101325,0.263693192934516
0.160853,9.9,13.6,7.6,101325,0.145411760184656
0.138773,9.2,13.6,6.6,101325,0.658599392650798
0.183736,10.5,13.6,7.3,101325,0.169495250670926
0.090275,7.6,13.5,7.5,101325,0.159167898773591
0.251942,12.1,13.4,7.3,101325,0.378440867243484
0.342598,13.8,13.4,6.5,101325,0.650102184275672
0.431249,15.2,13.4,6,101325,0.79164629728181
0.496575,16.2,13.3,6.5,101325,0.475565936542978
0.443446,15.4,13.3,6.3,101325,0.893846099728583
0.477955,15.8,13.4,4.8,101325,0.536259806437141
